Id,Category
0,2
1,10
2,8
3,9
4,7
5,0
6,1
7,10
8,0
9,2
10,3
11,0
12,5
13,10
14,5
15,4
16,9
17,4
18,5
19,9
20,3
21,5
22,1
23,0
24,1
25,3
26,10
27,4
28,5
29,8
30,5
31,5
32,6
33,1
34,2
35,2
36,5
37,10
38,10
39,2
40,6
41,2
42,2
43,3
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,8
54,4
55,8
56,7
57,1
58,6
59,9
60,5
61,8
62,6
63,3
64,10
65,8
66,2
67,9
68,2
69,10
70,5
71,5
72,6
73,5
74,5
75,6
76,4
77,2
78,2
79,9
80,0
81,2
82,9
83,8
84,8
85,2
86,2
87,4
88,8
89,2
90,5
91,4
92,2
93,5
94,6
95,6
96,2
97,2
98,4
99,10
100,2
101,3
102,8
103,5
104,4
105,7
106,6
107,5
108,9
109,10
110,5
111,8
112,5
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,8
121,4
122,3
123,2
124,3
125,2
126,5
127,8
128,10
129,9
130,5
131,0
132,10
133,0
134,1
135,3
136,3
137,10
138,3
139,1
140,8
141,10
142,5
143,8
144,1
145,4
146,9
147,5
148,2
149,5
150,1
151,4
152,7
153,1
154,10
155,9
156,2
157,1
158,8
159,2
160,5
161,8
162,5
163,5
164,8
165,2
166,8
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,1
175,2
176,2
177,10
178,8
179,4
180,3
181,8
182,9
183,6
184,2
185,9
186,10
187,2
188,2
189,4
190,1
191,3
192,3
193,4
194,7
195,4
196,8
197,9
198,0
199,1
200,9
201,8
202,8
203,7
204,4
205,2
206,7
207,9
208,10
209,2
210,4
211,2
212,2
213,2
214,2
215,2
216,10
217,1
218,9
219,2
220,5
221,2
222,2
223,6
224,5
225,5
226,3
227,2
228,6
229,8
230,10
231,9
232,7
233,4
234,3
235,1
236,4
237,10
238,4
239,6
240,4
241,3
242,0
243,4
244,2
245,5
246,2
247,9
248,10
249,5
250,9
251,3
252,4
253,9
254,5
255,0
256,4
257,9
258,4
259,0
260,8
261,8
262,10
263,10
264,5
265,9
266,1
267,3
268,0
269,9
270,4
271,2
272,10
273,4
274,2
275,1
276,9
277,2
278,2
279,9
280,1
281,2
282,2
283,3
284,10
285,0
286,2
287,4
288,1
289,10
290,9
291,4
292,1
293,10
294,4
295,6
296,7
297,5
298,10
299,5
300,8
301,2
302,8
303,1
304,0
305,10
306,2
307,8
308,9
309,2
310,1
311,4
312,7
313,8
314,2
315,3
316,7
317,1
318,7
319,9
320,3
321,2
322,8
323,7
324,4
325,3
326,5
327,6
328,10
329,4
330,8
331,0
332,5
333,9
334,1
335,2
336,1
337,1
338,5
339,10
340,9
341,6
342,5
343,1
344,2
345,7
346,4
347,6
348,4
349,9
350,4
351,10
352,6
353,2
354,2
355,2
356,3
357,10
358,10
359,4
360,4
361,5
362,10
363,5
364,2
365,5
366,4
367,4
368,2
369,6
370,9
371,4
372,2
373,4
374,2
375,3
376,9
377,9
378,8
379,5
380,10
381,6
382,4
383,9
384,10
385,8
386,9
387,10
388,10
389,1
390,4
391,0
392,10
393,10
394,8
395,3
396,10
397,8
398,10
399,1
400,9
401,1
402,2
403,4
404,6
405,3
406,10
407,5
408,5
409,4
410,9
411,7
412,3
413,7
414,3
415,6
416,4
417,4
418,4
419,4
420,5
421,10
422,2
423,10
424,3
425,8
426,6
427,6
428,9
429,8
430,5
431,2
432,7
433,8
434,1
435,2
436,10
437,10
438,1
439,1
440,10
441,4
442,3
443,1
444,2
445,7
446,0
447,10
448,0
449,2
450,4
451,9
452,3
453,2
454,6
455,6
456,5
457,3
458,8
459,10
460,10
461,9
462,10
463,10
464,1
465,8
466,7
467,7
468,4
469,3
470,5
471,4
472,8
473,8
474,9
475,3
476,6
477,1
478,1
479,6
480,5
481,4
482,3
483,1
484,10
485,5
486,1
487,9
488,5
489,9
490,3
491,10
492,7
493,1
494,5
495,5
496,8
497,10
498,3
499,10
500,10
501,1
502,5
503,2
504,0
