Id,Category
0,2
1,10
2,10
3,9
4,7
5,3
6,4
7,10
8,0
9,2
10,3
11,0
12,8
13,10
14,0
15,4
16,9
17,4
18,5
19,9
20,1
21,5
22,3
23,3
24,1
25,0
26,10
27,0
28,2
29,8
30,5
31,9
32,10
33,3
34,2
35,2
36,8
37,10
38,10
39,3
40,6
41,2
42,2
43,0
44,5
45,1
46,10
47,10
48,10
49,9
50,10
51,1
52,3
53,8
54,4
55,8
56,6
57,1
58,6
59,9
60,5
61,8
62,6
63,3
64,10
65,1
66,2
67,1
68,2
69,10
70,2
71,6
72,5
73,5
74,2
75,6
76,4
77,0
78,1
79,9
80,0
81,5
82,9
83,8
84,6
85,1
86,4
87,4
88,10
89,6
90,2
91,4
92,0
93,5
94,0
95,6
96,3
97,1
98,6
99,10
100,2
101,10
102,8
103,8
104,4
105,9
106,6
107,5
108,9
109,10
110,0
111,8
112,3
113,0
114,9
115,4
116,9
117,7
118,9
119,3
120,0
121,2
122,0
123,2
124,3
125,2
126,5
127,8
128,10
129,9
130,2
131,2
132,10
133,1
134,1
135,2
136,3
137,10
138,3
139,1
140,8
141,3
142,5
143,8
144,1
145,0
146,9
147,5
148,2
149,2
150,2
151,4
152,7
153,4
154,10
155,2
156,9
157,1
158,8
159,2
160,8
161,1
162,5
163,2
164,8
165,2
166,8
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,1
175,2
176,2
177,10
178,8
179,7
180,9
181,8
182,9
183,6
184,10
185,9
186,8
187,4
188,8
189,4
190,0
191,3
192,1
193,4
194,7
195,4
196,8
197,9
198,2
199,9
200,9
201,8
202,8
203,7
204,4
205,6
206,7
207,9
208,10
209,2
210,8
211,2
212,10
213,8
214,1
215,2
216,10
217,0
218,7
219,2
220,4
221,2
222,2
223,7
224,2
225,5
226,2
227,2
228,6
229,3
230,4
231,9
232,7
233,8
234,1
235,2
236,9
237,10
238,4
239,9
240,2
241,3
242,0
243,4
244,6
245,8
246,2
247,9
248,10
249,9
250,9
251,3
252,2
253,9
254,5
255,0
256,0
257,9
258,10
259,0
260,8
261,1
262,10
263,10
264,2
265,9
266,1
267,3
268,0
269,9
270,4
271,3
272,10
273,4
274,2
275,9
276,9
277,10
278,1
279,0
280,9
281,8
282,2
283,3
284,10
285,0
286,2
287,4
288,3
289,10
290,9
291,4
292,1
293,10
294,9
295,6
296,7
297,0
298,10
299,2
300,2
301,2
302,4
303,1
304,0
305,10
306,10
307,8
308,9
309,4
310,1
311,0
312,2
313,8
314,2
315,3
316,7
317,0
318,10
319,1
320,1
321,1
322,8
323,7
324,4
325,3
326,5
327,6
328,10
329,4
330,8
331,0
332,6
333,9
334,1
335,2
336,3
337,2
338,5
339,10
340,9
341,6
342,5
343,10
344,3
345,7
346,3
347,6
348,4
349,9
350,10
351,10
352,6
353,2
354,6
355,1
356,3
357,10
358,10
359,9
360,4
361,2
362,10
363,4
364,2
365,5
366,4
367,10
368,10
369,0
370,9
371,4
372,2
373,4
374,3
375,3
376,9
377,9
378,1
379,5
380,10
381,7
382,4
383,2
384,4
385,0
386,9
387,10
388,10
389,4
390,4
391,0
392,10
393,10
394,7
395,3
396,8
397,8
398,10
399,9
400,9
401,2
402,9
403,4
404,7
405,8
406,10
407,8
408,5
409,4
410,9
411,6
412,2
413,7
414,3
415,7
416,4
417,5
418,1
419,9
420,5
421,4
422,8
423,10
424,3
425,8
426,3
427,4
428,9
429,10
430,9
431,2
432,7
433,8
434,1
435,2
436,10
437,10
438,1
439,1
440,10
441,4
442,3
443,2
444,2
445,3
446,0
447,10
448,0
449,2
450,4
451,8
452,3
453,9
454,6
455,6
456,4
457,4
458,8
459,10
460,10
461,9
462,10
463,2
464,1
465,1
466,7
467,7
468,9
469,1
470,5
471,4
472,8
473,8
474,9
475,3
476,7
477,1
478,2
479,6
480,0
481,5
482,3
483,1
484,10
485,5
486,9
487,9
488,5
489,9
490,3
491,10
492,7
493,2
494,2
495,2
496,8
497,1
498,9
499,10
500,7
501,1
502,4
503,1
504,0
